7384,"Cheers Food & Fuel, Inc. 121009169","Southern Illinois","172.73.84.84",141001879,"Cheers Vienna_B&B","Vienna"
7383,"Pilot Travel Centers LLC 121009169","Hickory Hills","172.73.83.83",121009169,"Pilot Travel Center #473_B&B","Channahon"
7382,"Cheers Food & Fuel, Inc. 141001836","Southern Illinois","172.73.82.82",141001836,"Cheers Dongola_B&B","Dongola"
7381,"Love's Travel Stops & Country Stores 181003348","Schaumburg","172.73.81.81",181003348,"Love's Travel Stop #763_B&B","Hampshire"
7380,"Love's Travel Stops & Country Stores 201001128","Springfield","172.73.80.80",201001128,"Love's Travel Stop #687_B&B","South Jacksonville"
7379,"Pilot Travel Centers LLC 151003544","Hickory Hills","172.73.79.79",151003544,"Pilot Travel Center #1024_B&B","Joliet"
7378,"Love's Travel Stops & Country Stores 121008412","Kankakee","172.73.78.78",121008412,"Love's Travel Stop #292_B&B","Dwight"
7377,"Mac's Convenience Stores LLC 201000198","Springfield","172.73.77.77",201000198,"Circle K #4701398_B&B","Divernon"
7376,"Mac's Convenience Stores LLC 201000059","Rockford","172.73.76.76",201000059,"Circle K #4701408_B&B","Rochelle"
7375,"Pilot Travel Centers LLC 121009173","Effingham","172.73.75.75",121009173,"Pilot Travel Center #165_B&B","Effingham"
7374,"Love's Travel Stops & Country Stores 121010097","Springfield","172.73.74.74",121010097,"Love's Travel Stop #249_B&B","Williamsville"
7373,"Love's Travel Stops & Country Stores 181003347","Rockford","172.73.73.73",181003347,"Love's Travel Stop #754_B&B","Rochelle"
7372,"Love's Travel Stops & Country Stores 191000025","Princeton","172.73.72.72",191000025,"Love's Travel Stop # 766_B&B","Atkinson"
7371,"Pilot Travel Centers LLC 121009204","Kankakee","172.73.71.71",121009204,"Pilot Travel Center #468_B&B","Gilman"
7370,"Pilot Travel Centers LLC 121009161","Princeton","172.73.70.70",121009161,"Pilot Travel Center #476_B&B","Woodhull"
7369,"Mac's Convenience Stores LLC 141003785 #1431","Champaign","172.73.69.69",141003785,"Circle K #1431_B&B","Monticello"
7368,"Pilot Travel Centers LLC 121009103","Hickory Hills","172.73.68.68",121009103,"Pilot Travel Center #039_B&B","Monee"
7367,"Love's Travel Stops & Country Stores 161002737","Effingham","172.73.67.67",161002737,"Love's Travel Stop #688_B&B","Greenup"
7366,"Mac's Convenience Stores LLC 150700684 #1433","Kankakee","172.73.66.66",150700684,"Circle K #1433_B&B","Fairbury"
7365,"Pilot Travel Centers LLC 121009158","Southern Illinois","172.73.65.65",121009158,"Pilot Travel Center #482_B&B","Mt. Vernon"
7364,"Love's Travel Stops & Country Stores, Inc121010100","Rockford","172.73.64.64",121010100,"Love's Travel Stop # 322_B&B","Roscoe"
7363,"Love's Travel Stops & Country Stores, Inc201001124","Princeton","172.73.63.63",201001124,"Love's Travel Stop # 529_B&B","Oglesby"
7362,"Love's Travel Stops & Country Stores, Inc201001122","Champaign","172.73.62.62",201001122,"Love's Travel Stop # 367_B&B","LeRoy"
7361,"Mac's Convenience Stores LLC 151000673 #1432","Champaign","172.73.61.61",151000673,"Circle K #1432_B&B","Mahomet"
7360,"Love's Travel Stops & Country Stores, Inc201001125","MetroEast","172.73.60.60",201001125,"Love's Travel Stop #578_B&B","Hamel"
7359,"Love's Travel Stops & Country Stores, Inc181003346","Champaign","172.73.59.59",181003346,"Love's Travel Stop #750_B&B","Oakwood"
7358,"Love's Travel Stops & Country Stores, Inc201001120","Southern Illinois","172.73.58.58",201001120,"Love's Travel Stop # 318_B&B","Ina"
7357,"Love's Travel Stops & Country Stores, Inc201001126","MetroEast","172.73.57.57",201001126,"Love's Travel Stop #583_B&B","New Baden"
7356,"Pilot Travel Centers LLC 121009167","MetroEast","172.73.56.56",121009167,"Pilot Travel Center #249_B&B","Troy"
7355,"Love's Travel Stops & Country Stores, Inc201001123","MetroEast","172.73.55.55",201001123,"Love's Travel Stop # 384_B&B","Greenville"
7354,"Love's Travel Stops & Country Stores, Inc121010104","Kankakee","172.73.54.54",121010104,"Love's Travel Stop # 395_B&B","Kankakee"
7353,"Love's Travel Stops & Country Stores, Inc181003345","Springfield","172.73.53.53",181003345,"Love's Travel Stop #746_B&B","Decatur"
7352,"Pilot Travel Centers LLC 141001621","Kankakee","172.73.52.52",141001621,"Pilot Travel Center #483_B&B","Morris"
7351,"Pilot Travel Centers LLC 121009243","Hickory Hills","172.73.51.51",121009243,"Pilot Travel Center #236_B&B","Minooka"
7350,"Love's Travel Stops & Country Stores, Inc201001127","Springfield","172.73.50.50",201001127,"Love's Travel Stop #685_B&B","Knoxville"
7349,"Love's Travel Stops & Country Stores, Inc201001121","Princeton","172.73.49.49",201001121,"Love's Travel Stop # 351_B&B","North Utica"
7348,"Pilot Travel Centers LLC 141000031","Champaign","172.73.48.48",141000031,"Pilot Travel Center #171_B&B","Oakwood"
7347,"Mac's Convenience Stores LLC 141003788 #1438","Champaign","172.73.47.47",141003788,"Circle K # 1438_B&B","Champaign"
7346,"Pilot Travel Centers LLC 161000300","Hickory Hills","172.73.46.46",161000300,"Pilot Travel Center #1042_B&B","Bridgeview"
7345,"Mac's Convenience Stores LLC 141003721 #1445","Champaign","172.73.45.45",141003721,"Circle K #1445_B&B","Rantoul"
7344,"Pilot Travel Centers LLC 121009166","Springfield","172.73.44.44",121009166,"Pilot Travel Center #368_B&B","Decatur"
7343,"Pilot Travel Centers LLC 121009172","MetroEast","172.73.43.43",121009172,"Pilot Travel Center #313_B&B","East St. Louis"
7342,"Pilot Travel Centers LLC 121009106","Southern Illinois","172.73.42.42",121009106,"Pilot Travel Center #595_B&B","Marion"
7341,"Mac's Convenience Stores LLC 151000691 #1443","Champaign","172.73.41.41",151000691,"Circle K #1443_B&B","Champaign"
7340,"Pilot Travel Centers LLC 121009156","MetroEast","172.73.40.40",121009156,"Pilot Travel Center #642_B&B","Alorton"
7339,"Pilot Travel Centers LLC 151003543","Hickory Hills","172.37.39.39",151003543,"Pilot Travel Center #1030_B&B","Alsip"
7338,"Acees, Inc.","Southern Illinois","172.73.38.38",121004486,"Acees Food and Fuel 210, Metropolis, IL_B&B","Metropolis"
7337,"Pilot Travel Centers LLC 121009209","Springfield","172.73.37.37",121009209,"Pilot Travel Center #299_B&B","Bloomington"
7336,"PILOT TRAVEL CENTERS LLC 121009089","MetroEast","172.73.36.36",121009089,"Pilot Travel Center #645_B&B","Pontoon Beach"
7335,"The Peoples Choice Entertainment, Inc. 140701485","Libertyville","172.73.35.35",140701485,"Rocky's Pizzeria - MLK","North Chicago"
7334,"NL Enterprises Inc. 200702174","Springfield","172.73.34.34",200702174,"Hornets Nest Cafe","Heyworth"
7333,"Lincoln Log Custom Homes, Limited","Springfield","172.73.33.33",200701859,"Lincoln Log Gaming","Springfield"
7332,"M & M Service Company","Springfield","172.73.32.32",121006065,"Fast Stop Travel Center  - Litchfield","Litchfield"
7331,"AlphaBravo, LLC","Springfield","172.73.31.31",120703137,"AlphaBravo","Washington"
7330,"Pekin Pizza Company","Springfield","172.73.30.30",140702107,"Godfather's Pizza- Pekin","Pekin"
7329,"Krystal's, Inc.","Springfield","172.73.29.29",160700522,"Krystal's","Pekin"
7328,"Blackhawk Restaurant Group LLC 130700237","Springfield","172.73.28.28",130700237,"Emma's Eatery - CCPekin #702","Pekin"
